freq,psd_x,psd_y,psd_z,psd_xyz
135.6,4.692e+03,6.048e+03,1.336e+03,1.208e+04
137.1,5.810e+03,5.731e+03,1.194e+03,1.273e+04
138.7,7.491e+03,5.338e+03,1.062e+03,1.389e+04
140.2,9.419e+03,5.046e+03,9.745e+02,1.544e+04
141.8,1.091e+04,4.614e+03,8.875e+02,1.641e+04
143.4,1.052e+04,4.642e+03,1.021e+03,1.619e+04
144.9,9.306e+03,4.956e+03,1.591e+03,1.585e+04
146.5,7.532e+03,5.379e+03,2.672e+03,1.558e+04
148.0,7.165e+03,5.823e+03,4.103e+03,1.709e+04
149.6,7.650e+03,6.398e+03,6.075e+03,2.012e+04
151.1,6.338e+03,7.034e+03,7.930e+03,2.130e+04
152.7,4.688e+03,7.405e+03,9.077e+03,2.117e+04
154.3,3.403e+03,7.651e+03,9.500e+03,2.055e+04
155.8,2.694e+03,8.294e+03,9.658e+03,2.065e+04
157.4,1.994e+03,9.093e+03,1.041e+04,2.150e+04
158.9,1.600e+03,9.402e+03,1.060e+04,2.161e+04
160.5,1.540e+03,9.093e+03,9.737e+03,2.037e+04
162.1,1.434e+03,8.915e+03,9.322e+03,1.967e+04
163.6,1.413e+03,9.136e+03,9.284e+03,1.983e+04
165.2,1.169e+03,8.093e+03,7.991e+03,1.725e+04
166.7,9.331e+02,6.653e+03,6.167e+03,1.375e+04
168.3,6.819e+02,5.219e+03,4.149e+03,1.005e+04
169.8,5.107e+02,3.617e+03,2.472e+03,6.599e+03
171.4,5.882e+02,2.483e+03,1.572e+03,4.642e+03
173.0,8.202e+02,1.679e+03,1.147e+03,3.647e+03
174.5,9.717e+02,1.277e+03,1.108e+03,3.357e+03
176.1,9.423e+02,1.494e+03,1.544e+03,3.981e+03
177.6,9.457e+02,1.828e+03,2.117e+03,4.890e+03
179.2,8.818e+02,2.243e+03,2.975e+03,6.100e+03
180.8,7.125e+02,2.818e+03,4.227e+03,7.757e+03
182.3,5.848e+02,3.226e+03,5.075e+03,8.885e+03
183.9,5.512e+02,3.863e+03,6.052e+03,1.047e+04
185.4,6.611e+02,4.699e+03,7.276e+03,1.264e+04
187.0,6.961e+02,5.395e+03,8.422e+03,1.451e+04
188.5,7.336e+02,6.597e+03,1.015e+04,1.748e+04
190.1,7.851e+02,7.788e+03,1.206e+04,2.064e+04
191.7,8.695e+02,8.612e+03,1.352e+04,2.301e+04
193.2,9.745e+02,9.811e+03,1.574e+04,2.653e+04
194.8,1.138e+03,1.171e+04,1.902e+04,3.187e+04
196.3,1.203e+03,1.357e+04,2.330e+04,3.807e+04
197.9,1.217e+03,1.537e+04,2.911e+04,4.570e+04
199.5,1.138e+03,1.807e+04,3.665e+04,5.586e+04
