freq,psd_x,psd_y,psd_z,psd_xyz
173.0,9.909e+03,5.076e+02,4.214e+02,1.084e+04
174.5,1.020e+04,4.003e+02,3.658e+02,1.097e+04
176.1,1.026e+04,3.167e+02,3.755e+02,1.095e+04
177.7,9.964e+03,3.261e+02,4.308e+02,1.072e+04
179.2,9.451e+03,3.031e+02,4.867e+02,1.024e+04
180.8,9.179e+03,2.681e+02,5.435e+02,9.990e+03
182.3,9.093e+03,2.438e+02,5.888e+02,9.926e+03
183.9,9.193e+03,2.463e+02,6.474e+02,1.009e+04
185.4,8.759e+03,2.916e+02,6.807e+02,9.731e+03
187.0,7.705e+03,3.539e+02,6.427e+02,8.701e+03
188.6,6.645e+03,4.085e+02,6.213e+02,7.675e+03
190.1,6.064e+03,4.853e+02,5.926e+02,7.142e+03
191.7,5.939e+03,5.598e+02,5.896e+02,7.088e+03
193.2,5.726e+03,6.124e+02,5.682e+02,6.906e+03
194.8,5.769e+03,6.417e+02,5.876e+02,6.999e+03
196.4,5.963e+03,6.203e+02,7.422e+02,7.325e+03
197.9,6.393e+03,6.709e+02,9.596e+02,8.024e+03
199.5,6.932e+03,7.108e+02,1.070e+03,8.713e+03
